class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
One,0.796401501,0.884479702,-0.000170392,0.73748076,0.845954776,-0.05084303,0.706035852,0.764243901,-0.085642263,0.734631002,0.690876901,-0.116831221,0.782522798,0.660071671,-0.126476586,0.715691984,0.65458858,-0.018409573,0.710691631,0.547961175,-0.051556945,0.705426216,0.486650497,-0.06607344,0.703798592,0.436902463,-0.06921766,0.761015654,0.66119051,-0.022619439,0.761774302,0.613812745,-0.09854506,0.758336723,0.690558791,-0.110296831,0.75554508,0.722992063,-0.090222187,0.801511288,0.680369794,-0.03537051,0.802061915,0.647549808,-0.098844409,0.792926073,0.722870648,-0.110994734,0.790128052,0.744753003,-0.099617384,0.839021146,0.712446988,-0.054427695,0.836715102,0.684543908,-0.088840462,0.823057175,0.733585179,-0.101835862,0.819361746,0.749947548,-0.098026872
One,0.794230938,0.885921419,-0.000129687,0.74018538,0.841932833,-0.04086148,0.711323202,0.765131235,-0.070562713,0.736054838,0.694654047,-0.09719874,0.782808661,0.664682746,-0.111062922,0.717288673,0.657433927,-0.006217206,0.704850018,0.545787096,-0.032582551,0.697206974,0.485424638,-0.044290256,0.693187833,0.438517988,-0.04345708,0.763197184,0.66447413,-0.007835843,0.760169566,0.614507735,-0.066755615,0.759366155,0.686948121,-0.089871928,0.758413315,0.720932603,-0.0764255,0.803444445,0.68330574,-0.016389219,0.799301863,0.644617438,-0.066857897,0.78990531,0.712535024,-0.083940007,0.788750231,0.739225984,-0.074054241,0.838321924,0.712103724,-0.030811394,0.838638246,0.674263775,-0.058787078,0.8243258,0.720011115,-0.073309727,0.817358077,0.741914213,-0.068546459
One,0.789420903,0.888017774,-0.00013544,0.737590671,0.840411425,-0.041200906,0.707190931,0.762843788,-0.073962756,0.733958721,0.692713916,-0.10382349,0.783448994,0.663522601,-0.121059746,0.711517155,0.650423229,-0.006472567,0.699408948,0.542714119,-0.03752375,0.693235815,0.484415919,-0.054518662,0.688981593,0.438194633,-0.057501331,0.756398439,0.659045756,-0.008865326,0.757021546,0.611055911,-0.069765098,0.756169498,0.682551563,-0.098174095,0.753403246,0.713781118,-0.091152646,0.795670629,0.680622101,-0.018651659,0.795764863,0.643660784,-0.068871349,0.786762118,0.711577475,-0.085425608,0.785334468,0.735752344,-0.077112764,0.830158889,0.711541057,-0.034894105,0.832565129,0.678319573,-0.061246108,0.81879437,0.7247504,-0.074290417,0.812407434,0.744900584,-0.070915408
One,0.788235962,0.891946018,-0.000120964,0.735094905,0.839255393,-0.039850015,0.704902709,0.760010242,-0.068753392,0.728451431,0.687968493,-0.09512572,0.776650071,0.65817821,-0.108484544,0.711650252,0.652341247,-0.004592034,0.698376477,0.542716026,-0.033420864,0.690731406,0.483108312,-0.04626346,0.685473442,0.435505092,-0.046297766,0.75621134,0.662249923,-0.006960215,0.758318067,0.609064877,-0.066477224,0.75703758,0.68021816,-0.092065707,0.754018068,0.714754105,-0.083044991,0.795415044,0.683347762,-0.016338002,0.795754552,0.641846299,-0.065890729,0.786235034,0.70929879,-0.080768116,0.784387529,0.73625654,-0.070998475,0.830022752,0.713510215,-0.031654425,0.832799613,0.676018655,-0.057404701,0.818618119,0.721216261,-0.07024987,0.81166321,0.742684007,-0.065906525
One,0.786795318,0.894513011,-0.000120225,0.733557999,0.840995133,-0.039287224,0.701459348,0.759024501,-0.067180753,0.724681377,0.684720993,-0.093091644,0.773268759,0.656681478,-0.105878763,0.707017779,0.651572347,0.005411162,0.693484604,0.544279933,-0.024362849,0.686473548,0.485991657,-0.040123399,0.681539237,0.438041747,-0.04208969,0.750647843,0.659261107,0.002947489,0.750243247,0.607293606,-0.055836655,0.749894083,0.679637074,-0.085510403,0.74783808,0.711869359,-0.078944489,0.788730979,0.678177357,-0.007531371,0.788576722,0.635932267,-0.057684299,0.779789448,0.704798818,-0.072116151,0.77836597,0.73063314,-0.061165586,0.822733462,0.706335068,-0.023444731,0.823765337,0.668195367,-0.049262788,0.810140789,0.714172244,-0.060339391,0.804504395,0.735448837,-0.054794807
One,0.784623802,0.892735004,-9.53E-05,0.729965568,0.84105742,-0.033647876,0.698382616,0.757866621,-0.056256395,0.718243003,0.682149351,-0.077933751,0.764154077,0.650366902,-0.087646887,0.70433557,0.65189141,0.014526296,0.689795971,0.5434587,-0.012498965,0.682667077,0.483030975,-0.025472987,0.677549422,0.432951719,-0.025777524,0.746075213,0.658236265,0.011024473,0.742007554,0.604355037,-0.043558557,0.742583811,0.677703023,-0.070299931,0.742101312,0.713956952,-0.064206518,0.78316468,0.675251007,-0.000948475,0.779992938,0.632327914,-0.049203582,0.772033215,0.702660799,-0.063293703,0.77175498,0.733159721,-0.05358145,0.817335129,0.701632023,-0.017392952,0.813843846,0.657333314,-0.040857911,0.801462471,0.704326034,-0.049784049,0.796878219,0.730838954,-0.04335437
One,0.784570694,0.890189111,-0.000119029,0.726782024,0.8408764,-0.032282434,0.692863882,0.758841395,-0.053905558,0.714117467,0.683667243,-0.073636629,0.762146711,0.655531049,-0.082077377,0.702980101,0.651262879,0.013727628,0.689714491,0.541017234,-0.008019284,0.679619789,0.482851565,-0.016127832,0.671769857,0.437044024,-0.013702646,0.745796621,0.656358182,0.008889685,0.742096066,0.603033185,-0.042177424,0.741300404,0.672737956,-0.069890767,0.742468596,0.712443709,-0.065820798,0.783178747,0.673731148,-0.002523263,0.779791892,0.629525781,-0.046603572,0.771260023,0.697524667,-0.064178593,0.77219522,0.732452869,-0.058112871,0.817667723,0.70176971,-0.018577492,0.81411767,0.658516049,-0.041911773,0.800846756,0.702810287,-0.054623712,0.796894133,0.731179059,-0.0522964
One,0.782346368,0.891929865,-9.89E-05,0.72420615,0.840050697,-0.029141122,0.69217205,0.758779109,-0.047963627,0.711806476,0.682584822,-0.065476254,0.757781744,0.64967066,-0.073643059,0.698423445,0.654495955,0.017840795,0.684992015,0.545217276,-0.002090967,0.677737176,0.48555088,-0.010837179,0.672550559,0.437136054,-0.009928428,0.740727842,0.659138441,0.014168188,0.737794936,0.603217959,-0.033011705,0.737519264,0.673768044,-0.059505139,0.737930894,0.713130832,-0.054648198,0.778196871,0.675421715,0.003552831,0.774588048,0.629114985,-0.037675746,0.76687032,0.697694838,-0.055333961,0.768103957,0.732626557,-0.050454494,0.813363016,0.702279866,-0.011110635,0.809390903,0.65839994,-0.033058632,0.797278643,0.703154683,-0.046722714,0.794251263,0.732152879,-0.0449671
One,0.781689703,0.890899122,-0.000107725,0.724478066,0.840731978,-0.029464027,0.690414667,0.760077953,-0.049300607,0.709531307,0.684708238,-0.068891764,0.757422805,0.652206659,-0.078371458,0.69724834,0.652507305,0.019448873,0.684699774,0.543806732,-0.001300895,0.677287281,0.484261751,-0.010031602,0.671844244,0.436505616,-0.009087434,0.738791585,0.658062458,0.013647429,0.736010849,0.604639709,-0.0377471,0.734526455,0.676180065,-0.065327592,0.734220624,0.715478539,-0.06042641,0.775572836,0.674658,0.000854855,0.773067057,0.631528437,-0.044135928,0.764380693,0.70110929,-0.060621455,0.764000475,0.736344516,-0.05366791,0.810135484,0.701547563,-0.016250052,0.80745697,0.657629311,-0.039249942,0.794618845,0.702894211,-0.050660226,0.790120006,0.732981265,-0.046283297
One,0.78259927,0.888952136,-0.000113271,0.724671423,0.839817643,-0.028546594,0.690230548,0.758451223,-0.047213383,0.711571515,0.682043314,-0.064323582,0.761082411,0.653532386,-0.069331892,0.696634889,0.654225707,0.020734409,0.684265614,0.54410845,-0.002463565,0.676812589,0.484379411,-0.012217846,0.671939552,0.436866313,-0.011713003,0.738237858,0.658730984,0.015724063,0.735783041,0.605800867,-0.038280293,0.736007035,0.678261518,-0.06571088,0.736035347,0.715684354,-0.059736937,0.774930477,0.672909796,0.003771592,0.77252394,0.629128575,-0.040412363,0.765694916,0.699367106,-0.056409873,0.766360044,0.733040929,-0.048591595,0.809238434,0.697491944,-0.012712785,0.806058407,0.655288279,-0.03405996,0.794561625,0.701715529,-0.044683337,0.791110456,0.730272055,-0.039507348
